//THIS FILE IS GENERATED AUTOMATICALLY
//DO NOT EDIT IT DIRECTLY
//Edit mob_db.conf instead!
//ID,   Name,                   Jname,                  LV,     HP,     SP,     EXP,    JEXP,   Range1, ATK1,   ATK2,   DEF,    MDEF,   CRITDEF,STR,    AGI,    VIT,    INT,    DEX,    LUK,    Range2, Range3, Scale,  Race,   Element,Mode,   Speed,  Adelay, Amotion,Dmotion,Drop0id,Drop0%, Drop1id,Drop1%, Drop2id,Drop2%, Drop3id,Drop3%, Drop4id,Drop4%, Drop5id,Drop5%, Drop6id,Drop6%, Drop7id,Drop7%, Drop8id,Drop8%, Drop9id,Drop9%, Item1,  Item2,  MEXP,   ExpPer, MVP1id, MVP1per,MVP2id, MVP2per,MVP3id, MVP3per,mutationcount,mutationstrength
1009,   BlackScorpion,          BlackScorpion,          100,    600,    0,      500,    37,     1,      60,     100,    4,      6,      0,      16,     30,     10,     10,     35,     10,     9,      10,     1,      0,      10,     133,    1000,   1500,   672,    480,    523,    150,    509,    100,    518,    800,    709,    900,    5369,   350,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,            50
1010,   Snake,                  Snake,                  115,    850,    0,      722,    56,     1,      75,     90,     4,      6,      0,      20,     11,     10,     10,     35,     10,     9,      10,     1,      0,      10,     133,    900,    1300,   672,    480,    641,    150,    714,    400,    714,    400,    710,    500,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,            30
1012,   Spider,                 Spider,                 125,    800,    0,      690,    115,    1,      70,     85,     4,      6,      0,      14,     13,     10,     10,     35,     10,     9,      10,     1,      0,      12,     143,    1000,   1500,   672,    480,    537,    500,    535,    100,    638,    20,     526,    200,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,            40
1013,   EvilMushroom,           EvilMushroom,           110,    650,    0,      233,    35,     1,      65,     80,     4,      6,      0,      16,     12,     10,     10,     35,     10,     9,      10,     1,      3,      12,     137,    800,    1800,   672,    480,    535,    500,    540,    10,     534,    100,    526,    400,    566,    1000,   566,    1000,   5334,   30,     5360,   100,    629,    1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,            60
1014,   PinkFlower,             PinkFlower,             115,    700,    0,      296,    40,     2,      70,     75,     0,      5,      0,      16,     12,     20,     20,     20,     50,     2,      10,     1,      3,      12,     128,    800,    800,    672,    480,    535,    100,    540,    10,     1199,   100,    526,    400,    565,    1000,   565,    1000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,            50
1015,   SantaSlime,             SantaSlime,             120,    750,    0,      298,    58,     1,      75,     80,     2,      7,      0,      1,      20,     1,      0,      30,     30,     9,      10,     1,      0,      11,     129,    1500,   1872,   672,    480,    512,    800,    513,    700,    514,    600,    519,    500,    527,    400,    538,    500,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,            10
1026,   MountainSnake,          MountainSnake,          130,    900,    0,      1024,   63,     1,      80,     125,    4,      6,      0,      20,     40,     10,     10,     35,     45,     9,      10,     1,      0,      10,     133,    1000,   1500,   672,    480,    641,    350,    715,    400,    715,    400,    711,    500,    531,    100,    532,    1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,            30
1034,   GrassSnake,             GrassSnake,             140,    1000,   0,      1254,   103,    1,      80,     120,    2,      10,     0,      20,     40,     10,     10,     40,     50,     9,      10,     1,      0,      10,     133,    500,    1100,   672,    480,    716,    400,    716,    400,    712,    500,    676,    500,    660,    1600,   641,    500,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,            40
1036,   Zombie,                 Zombie,                 110,    12000,  0,      7782,   1393,   2,      275,    355,    20,     14,     0,      30,     15,     30,     3,      60,     40,     9,      10,     1,      1,      17,     133,    480,    1872,   672,    900,    631,    1000,   777,    700,    778,    500,    779,    200,    780,    150,    1198,   500,    5297,   10,     3004,   3,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,            30
1042,   Spectre,                Spectre,                140,    6500,   0,      3978,   359,    3,      160,    220,    40,     0,      0,      35,     70,     22,     15,     20,     70,     9,      10,     1,      1,      27,     137,    650,    1700,   800,    500,    773,    1000,   703,    600,    703,    480,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,            20
1045,   Fallen,                 Fallen,                 120,    10000,  0,      7812,   1663,   2,      180,    430,    5,      18,     0,      40,     3,      25,     5,      80,     45,     9,      10,     1,      1,      27,     133,    300,    1200,   672,    300,    775,    210,    775,    210,    776,    300,    631,    1000,   636,    1,      658,    1,      532,    5,      778,    500,    1198,   500,    5297,   10,     0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      4,            50
1062,   Terranite,              Terranite,              110,    6000,   0,      4851,   889,    1,      200,    300,    20,     35,     0,      60,     40,     40,     30,     60,     40,     9,      10,     1,      1,      17,     133,    400,    872,    672,    900,    4001,   600,    4004,   20,     4005,   20,     4007,   20,     763,    500,    640,    500,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,            30
1067,   Reaper2,                Reaper2,                140,    40000,  0,      64128,  156,    7,      200,    350,    30,     50,     0,      100,    120,    70,     120,    100,    75,     9,      10,     1,      1,      47,     165,    500,    1200,   800,    300,    777,    1000,   775,    500,    776,    100,    1221,   10,     0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,            0
1068,   Reaper,                 Reaper,                 140,    40000,  0,      64128,  156,    7,      200,    350,    30,     70,     0,      100,    120,    70,     120,    100,    75,     9,      10,     1,      1,      47,     165,    500,    1200,   800,    300,    777,    1000,   775,    500,    776,    100,    1221,   10,     0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,            0
1071,   IceElement,             IceElement,             100,    5000,   0,      2897,   689,    3,      60,     200,    5,      20,     0,      15,     25,     40,     15,     45,     30,     9,      10,     1,      0,      21,     135,    330,    740,    672,    400,    4026,   900,    537,    750,    568,    400,    543,    900,    544,    250,    5361,   1000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,            20
